Contract Number,Project Number,GSAR,GQAC,Service Contract Reporting,Warranties
FA5000-15-D-0007-FA17F0166,50056,0,0,0,0
FA5000-15-D-0007-FA50018F0012,50056,0,0,0,0
FA5000-15-D-0007-FA500018F0018,50056,0,0,0,0
FA5000-15-D-0007-FA500018F0040,50056,0,0,0,0
FA5000-15-D-0007-FA500017F0161,50056,0,0,0,0
FA5000-15-D-0007-FA500018F0084,50056,0,0,0,0
FA5000-15-D-0007-FA500018F0090,50056,0,0,0,0
FA5000-15-D-0007-FA500018F0021,50056,0,0,0,0
FA5000-15-D-0007-FA500018F0031,50056,0,0,0,0
FA5000-15-D-0007-FA500018F0045,50056,0,0,0,0
FA5000-15-D-0007-FA500018F0034,50056,0,0,0,0
FA5000-15-D-0007-FA500018F0048,50056,0,0,0,0
FA5000-15-D-0007-FA500018F0049,50056,0,0,0,0
FA5000-15-D-0007-FA500018F0050,50056,0,0,0,0
FA5000-15-D-0007-FA500018F0053,50056,0,0,0,0
,50056,0,0,0,0
SC-211-001,50056,0,0,0,1
F15PC00081,50056,0,0,0,1
F15PC00081-140F0718F0059,50056,0,0,0,1
F15PC00081-140F0719F0005,50056,0,0,0,1
N44255-17-D-4008,50056,0,0,0,0
N44255-17-D-4008,50056,0,0,1,0
N44255-17-D-4008/N4425518F4070,50056,0,0,0,0
N4425-17-D-4008/N4425518F,50056,0,0,0,0
 N44255-17-D-4008 ,50056,0,0,0,0
N4425518F4387,50056,0,0,1,0
N4425519F4031,50056,0,0,0,0
N442217D4008,50056,0,0,0,1
N44255-15-R-0024/X024,50056,0,0,1,0
FA4600-17FAC33,50056,0,0,0,1
FA4600-17FAC18,50056,0,0,0,1
FA460017FAC36,50056,0,0,0,1
FA460017FAC23,50056,0,0,0,1
FA460017FAC34,50056,0,0,0,1
FA460017FAC35,50056,0,0,0,1
FA460017FAC24,50056,0,0,0,1
FA460017FAC25,50056,0,0,0,1
FA460017FAC26,50056,0,0,0,1
FA460017FAC27,50056,0,0,0,1
FA460018FAC12,50056,0,0,0,1
FA460018FAC23,50056,0,0,0,1
FA4600-18-F-AC31,50056,0,0,0,1
FA460019FAC02,50056,0,0,0,1
FA4861-17-D-A200,50056,0,0,0,1
FA4861-17-F-A070,50056,0,0,0,1
FA4861-17-F-A102 ,50056,0,0,0,1
FA4861-17-F-A042,50056,0,0,0,1
FA4861-17-F-A041,50056,0,0,0,1
FA4861-17-F-A096  ,50056,0,0,0,1
FA4861-17-F-A031/34 ,50056,0,0,0,1
FA4861-17-F-A098   ,50056,0,0,0,1
FA4861-17-F-A101 ,50056,0,0,0,1
FA4861-17-F-A095   ,50056,0,0,0,1
FA4861-17-F-A132   ,50056,0,0,0,1
FA4861-17-F-A129   ,50056,0,0,0,1
FA4861-17-D-A117,50056,0,0,0,1
FA4861-17-D-A003,50056,0,0,0,1
FA4861-17-D-A107,50056,0,0,0,1
FA4861-17-F-A134,50056,0,0,0,1
FA4861-17-F-A137,50056,0,0,0,1
FA4861-17-D-A135,50056,0,0,0,1
FA4861-17-F-A116,50056,0,0,0,1
FA4861-17-F-A118,50056,0,0,0,1
FA4861-17-F-A120 ,50056,0,0,0,1
FA4861-18-F-A014,50056,0,0,0,0
FA4861-17-F-A013,50056,0,0,0,1
FA4861-18-F-A032,50056,0,0,0,0
FA4861-18-F-A034,50056,0,0,0,0
FA4861-18-F-A036 ,50056,0,0,0,0
FA4861-18-F-A038 ,50056,0,0,0,0
FA4861-18-F-A052 ,50056,0,0,0,0
FA4861-18-F-A053,50056,0,0,0,1
FA4861-18-F-A049       ,50056,0,0,0,0
FA4861-18-F-A058,50056,0,0,0,0
FA4861-18-F-A060,50056,0,0,0,0
FA4861-18-F-A048       ,50056,0,0,0,0
FA4861-18-F-A082,50056,0,0,0,1
