PSCGuid,CodeDescription,Code,Level1,Level1Category,Level2,Level2Category
{20425DEA-A277-410D-828D-ABB548ABE1CD},X1DA LEASE/RENTAL OF HOSPITALS AND INFIRMARIES,X1DA,4,Facilities & Construction,4.5,Facilities Purchase & Lease
{4D6BEF3A-755B-42F7-AF57-ABD53A8A473A},X1DB (LEASE/RENTAL OF LABORATORIES AND CLINICS),X1DB,4,Facilities & Construction,4.5,Facilities Purchase & Lease
{9DC709B5-D8EB-41C6-88C5-ABD7C65E7CA2},X1DZ (LEASE/RENTAL OF OTHER HOSPITAL BUILDINGS),X1DZ,4,Facilities & Construction,4.5,Facilities Purchase & Lease
{A61BF59C-7797-40CA-AD85-ABD8B8F27C07},X1EA (LEASE/RENTAL OF AMMUNITION FACILITIES),X1EA,4,Facilities & Construction,4.5,Facilities Purchase & Lease
{7EA2ADD1-B59B-42A5-843E-ABD934924B17},X1EB (LEASE/RENTAL OF MAINTENANCE BUILDINGS),X1EB,4,Facilities & Construction,4.5,Facilities Purchase & Lease
{85B3935A-2442-4F08-B535-ABE1CA97BE18},X1EC (LEASE/RENTAL OF PRODUCTION BUILDINGS),X1EC,4,Facilities & Construction,4.5,Facilities Purchase & Lease
{C0C8490E-CFF6-4896-BD43-ABE9844A8CE9},X1ED (LEASE/RENTAL OF SHIP CONSTRUCTION AND REPAIR FACILITIES),X1ED,4,Facilities & Construction,4.5,Facilities Purchase & Lease
{740E7BD7-4E61-419B-A3BD-ABF67072ECA0},X1EE (LEASE/RENTAL OF TANK AUTOMOTIVE FACILITIES),X1EE,4,Facilities & Construction,4.5,Facilities Purchase & Lease
{77C57764-5F25-4BDA-9BB8-AC158486C860},X1EZ (LEASE/RENTAL OF OTHER INDUSTRIAL BUILDINGS),X1EZ,4,Facilities & Construction,4.5,Facilities Purchase & Lease
{C9B54CB5-FD67-4122-9977-AC2C7782B102},X1FA (LEASE/RENTAL OF FAMILY HOUSING FACILITIES),X1FA,4,Facilities & Construction,4.5,Facilities Purchase & Lease
{8CC9A48A-1160-4743-AB15-AC3ED3F2DBBF},X1FB (LEASE/RENTAL OF RECREATIONAL BUILDINGS),X1FB,4,Facilities & Construction,4.5,Facilities Purchase & Lease
{334AB7C8-7502-4300-9546-AC97743FED04},X1FC (LEASE/RENTAL OF TROOP HOUSING FACILITIES),X1FC,4,Facilities & Construction,4.5,Facilities Purchase & Lease
{6FAD7BE2-3EE0-4B67-9B40-ACA1045067F1},X1FD (LEASE/RENTAL OF DINING FACILITIES),X1FD,4,Facilities & Construction,4.5,Facilities Purchase & Lease
{B87E950F-1286-40D8-A100-ACEB20573693},X1FE (LEASE/RENTAL OF RELIGIOUS FACILITIES),X1FE,4,Facilities & Construction,4.5,Facilities Purchase & Lease
{75913F7A-02CF-4F01-97C2-ACEC511A74A0},X1FF (LEASE/RENTAL OF PENAL FACILITIES),X1FF,4,Facilities & Construction,4.5,Facilities Purchase & Lease
{CE0950D1-BEDA-4C35-B513-AD0DE3A883B4},X1FZ (LEASE/RENTAL OF OTHER RESIDENTIAL BUILDINGS),X1FZ,4,Facilities & Construction,4.5,Facilities Purchase & Lease
{05EDD269-1574-4E64-AFFC-AD2728712941},X1GA (LEASE/RENTAL OF AMMUNITION STORAGE BUILDINGS),X1GA,4,Facilities & Construction,4.5,Facilities Purchase & Lease
{8F5E4C91-E901-4F6E-8D15-AD461FA5905E},X1GB (LEASE/RENTAL OF FOOD OR GRAIN STORAGE BUILDINGS),X1GB,4,Facilities & Construction,4.5,Facilities Purchase & Lease
{3003648F-ED60-489A-A6A4-AD8205E37BD5},X1GC (LEASE/RENTAL OF FUEL STORAGE BUILDINGS),X1GC,4,Facilities & Construction,4.5,Facilities Purchase & Lease
{CE11375A-7A06-4594-A1E1-AD9A5A73AEEA},X1GD (LEASE/RENTAL OF OPEN STORAGE FACILITIES),X1GD,4,Facilities & Construction,4.5,Facilities Purchase & Lease
{81112E42-FEF1-488C-BF38-ADCE928A62E1},X1GZ (LEASE/RENTAL OF OTHER WAREHOUSE BUILDINGS),X1GZ,4,Facilities & Construction,4.5,Facilities Purchase & Lease
{363200C6-C7F5-4D87-B2EC-ADD0087B46C8},X1HA LEASE/RENTAL OF GOVERNMENT-OWNED CONTRACTOR-OPERATED (GOCO) R&D FACILITIES,X1HA,4,Facilities & Construction,4.5,Facilities Purchase & Lease
{DBE75F90-EC8F-439A-B1E8-ADD0BC87C083},X1HB LEASE/RENTAL OF GOVERNMENT-OWNED GOVERNMENT-OPERATED (GOGO) R&D FACILITIES,X1HB,4,Facilities & Construction,4.5,Facilities Purchase & Lease
{28517609-0CEE-45A5-BF0C-ADDBAF33301D},X1HC LEASE/RENTAL OF GOVERNMENT-OWNED CONTRACTOR-OPERATED (GOCO) ENVIRONMENTAL LABORATORIES,X1HC,4,Facilities & Construction,4.5,Facilities Purchase & Lease
{999A54C6-1B67-4FE2-968C-AE0C57E82D87},X1HZ (LEASE/RENTAL OF GOVERNMENT-OWNED GOVERNMENT-OPERATED (GOGO) ENVIRONMENTAL LABORATORIES),X1HZ,4,Facilities & Construction,4.5,Facilities Purchase & Lease
{FD8C0554-27C7-4F69-9E87-AE1D17E5FE09},X1JA (LEASE/RENTAL OF MUSEUMS AND EXHIBITION BUILDINGS),X1JA,4,Facilities & Construction,4.5,Facilities Purchase & Lease
{7FF701AA-3503-49D9-9B2A-AE7D8C81C20B},X1JB (LEASE/RENTAL OF TESTING AND MEASUREMENT BUILDINGS),X1JB,4,Facilities & Construction,4.5,Facilities Purchase & Lease
{AF3A8F57-C1E3-406D-843F-AEE838325A58},X1JZ (LEASE/RENTAL OF MISCELLANEOUS BUILDINGS),X1JZ,4,Facilities & Construction,4.5,Facilities Purchase & Lease
{47F6A3C6-EB96-4104-875A-AEFA2E4A2D3B},X1KA LEASE/RENTAL OF DAMS,X1KA,4,Facilities & Construction,4.5,Facilities Purchase & Lease
{9A85DDAF-51F6-496F-ABD4-AF0F5A85A042},X1KB LEASE/RENTAL OF CANALS,X1KB,4,Facilities & Construction,4.5,Facilities Purchase & Lease
{9F693451-C420-4029-9950-AF17C366ED67},X1KC LEASE/RENTAL OF MINE FIRE CONTROL FACILITIES,X1KC,4,Facilities & Construction,4.5,Facilities Purchase & Lease
{C55E3624-A997-4C1C-8BFF-AF2FF1C2AA76},X1KD LEASE/RENTAL OF MINE SUBSIDENCE CONTROL FACILITIES,X1KD,4,Facilities & Construction,4.5,Facilities Purchase & Lease
{E7A54472-41E9-4CFA-840E-AF4C873F796A},X1KE LEASE/RENTAL OF SURFACE MINE RECLAMATION FACILITIES,X1KE,4,Facilities & Construction,4.5,Facilities Purchase & Lease
{B4CD1127-3F68-4641-9231-AF8FCD887B50},X1KF (LEASE/RENTAL OF DREDGING FACILITIES),X1KF,4,Facilities & Construction,4.5,Facilities Purchase & Lease
{2B471AFA-C7C0-4A26-95BE-AFFD670611B3},X1KZ LEASE/RENTAL OF OTHER CONSERVATION AND DEVELOPMENT FACILITIES,X1KZ,4,Facilities & Construction,4.5,Facilities Purchase & Lease
{072759D2-4D63-40E3-AE18-AFFF2896555D},X1LA (LEASE/RENTAL OF AIRPORT SERVICE ROADS),X1LA,4,Facilities & Construction,4.5,Facilities Purchase & Lease
{2242DF09-7A38-45F1-944F-B03446E5095E},"X1LB (LEASE/RENTAL OF HIGHWAYS, ROADS, STREETS, BRIDGES, AND RAILWAYS)",X1LB,4,Facilities & Construction,4.5,Facilities Purchase & Lease
{C80E503D-1517-4032-A4F2-B03D95796468},X1LC LEASE/RENTAL OF TUNNELS AND SUBSURFACE STRUCTURES,X1LC,4,Facilities & Construction,4.5,Facilities Purchase & Lease
{AE0C8275-347E-4C3A-95B4-B040DAA522A8},X1LZ (LEASE/RENTAL OF PARKING FACILITIES),X1LZ,4,Facilities & Construction,4.5,Facilities Purchase & Lease
{D3218F09-D14B-42D8-8068-B043A7E88AAB},X1MA LEASE/RENTAL OF EPG FACILITIES - COAL,X1MA,4,Facilities & Construction,4.5,Facilities Purchase & Lease
{2836E8CC-6AC3-477D-8514-B04D4EF431E8},X1MB LEASE/RENTAL OF EPG FACILITIES - GAS,X1MB,4,Facilities & Construction,4.5,Facilities Purchase & Lease
{7D5391BE-60A5-4ACB-83B4-B073756E667D},X1MC (LEASE/RENTAL OF EPG FACILITIES - GEOTHERMAL),X1MC,4,Facilities & Construction,4.5,Facilities Purchase & Lease
{0811085E-D7A1-4027-97D6-B0C7603A9A0D},X1MD LEASE/RENTAL OF EPG FACILITIES - HYDRO,X1MD,4,Facilities & Construction,4.5,Facilities Purchase & Lease
{36EFD162-4DD2-4B88-9ECA-B0C86C229BB2},X1ME LEASE/RENTAL OF EPG FACILITIES - NUCLEAR,X1ME,4,Facilities & Construction,4.5,Facilities Purchase & Lease
{FFC71B99-6472-456E-8444-B0D8C3E9DA89},X1MF LEASE/RENTAL OF EPG FACILITIES - PETROLEUM,X1MF,4,Facilities & Construction,4.5,Facilities Purchase & Lease
{AA9DF392-1E41-4773-8D62-B0DC58534A49},X1MG LEASE/RENTAL OF EPG FACILITIES - SOLAR,X1MG,4,Facilities & Construction,4.5,Facilities Purchase & Lease
{DAD03E79-4186-4531-B4B3-B124765AD509},X1MH LEASE/RENTAL OF EPG FACILITIES - WIND,X1MH,4,Facilities & Construction,4.5,Facilities Purchase & Lease
{BB753DE1-2AB7-4F08-AEA1-B12775D07E6C},"X1MZ (LEASE/RENTAL OF EPG FACILITIES - OTHER, INCLUDING TRANSMISSION)",X1MZ,4,Facilities & Construction,4.5,Facilities Purchase & Lease
{9D129581-32EE-4DDB-AFF7-B127CB8D6DB1},X1NA (LEASE/RENTAL OF FUEL SUPPLY FACILITIES),X1NA,4,Facilities & Construction,4.5,Facilities Purchase & Lease
{BF8C9998-2162-40D4-B6B4-B15BE404A51C},X1NB (LEASE/RENTAL OF HEATING AND COOLING PLANTS),X1NB,4,Facilities & Construction,4.5,Facilities Purchase & Lease
{88852227-CAD8-45D0-A11E-B1A02100A0FD},X1NC LEASE/RENTAL OF POLLUTION ABATEMENT AND CONTROL FACILITIES,X1NC,4,Facilities & Construction,4.5,Facilities Purchase & Lease
{AB08CFFD-8A00-4728-8652-B1A232F40424},X1ND (LEASE/RENTAL OF SEWAGE AND WASTE FACILITIES),X1ND,4,Facilities & Construction,4.5,Facilities Purchase & Lease
{98466FEE-0FBA-4D9A-B48B-B1AC9BA8E62A},X1NE (LEASE/RENTAL OF WATER SUPPLY FACILITIES),X1NE,4,Facilities & Construction,4.5,Facilities Purchase & Lease
{B083D4E0-8316-4714-90EC-B1B2B13928EF},X1NZ (LEASE/RENTAL OF OTHER UTILITIES),X1NZ,4,Facilities & Construction,4.5,Facilities Purchase & Lease
{C38FF0D3-8463-4E6B-9A8C-B26380373311},X1PA (LEASE/RENTAL OF RECREATION FACILITIES (NON-BUILDING)),X1PA,4,Facilities & Construction,4.5,Facilities Purchase & Lease
{513F5F79-AECF-4E23-908E-B26B1E8BA483},X1PB (LEASE/RENTAL OF EXHIBIT DESIGN (NON-BUILDING)),X1PB,4,Facilities & Construction,4.5,Facilities Purchase & Lease
{B15068B5-13AD-4820-BFFB-B283E30D439E},X1PC (LEASE/RENTAL OF UNIMPROVED REAL PROPERTY (LAND)),X1PC,4,Facilities & Construction,4.5,Facilities Purchase & Lease
{67F9C5DF-5DCC-40F0-B527-B29CDB21C3B2},X1PD (LEASE/RENTAL OF WASTE TREATMENT AND STORAGE FACILITIES),X1PD,4,Facilities & Construction,4.5,Facilities Purchase & Lease
{73BDE30D-C7BC-4B7D-8AA9-B2AF4DF0F92C},X1PZ (LEASE/RENTAL OF OTHER NON-BUILDING FACILITIES),X1PZ,4,Facilities & Construction,4.5,Facilities Purchase & Lease
{7CCDBD64-70B4-402F-B6EC-B2B45CF97FCA},X1QA (LEASE/RENTAL OF RESTORATION OF REAL PROPERTY (PUBLIC OR PRIVATE)),X1QA,4,Facilities & Construction,4.5,Facilities Purchase & Lease
{6E09F462-3ED4-4775-860B-B2CC5FBA09D3},Y1AA (CONSTRUCTION OF OFFICE BUILDINGS),Y1AA,4,Facilities & Construction,4.2,Construction Related Services
{DCE2E430-62EF-450D-B407-B2E5DAE1E673},Y1AB (CONSTRUCTION OF CONFERENCE SPACE AND FACILITIES),Y1AB,4,Facilities & Construction,4.2,Construction Related Services
