FolderStructureFolderGuid,FolderStructureMasterGuid,ParentGuid,Name,Description,Keys,CreatedBy,CreatedOn,ResourceType
A7A09C06-3AAD-48CA-A49D-57E36CCCB093,4FD6CA8D-CC21-4F3F-8DC0-83EE6B3FA130,5B06A5A2-2CA6-24F4-8646-88CD857C3D89,Closeout,,Closeout,920EA36E-911C-4345-8BE5-29C190C8E5C17,10/29/2019,Contract
A7A09C06-3AAD-48CA-A49D-57E36EECB039,4FD6CA8D-CC21-4F3F-8DC0-83EE6B3FA130,5B06A5A2-2CA6-24F4-8646-88CD857C3D89,NTP,,NTP,920EA36E-911C-4345-8BE5-29C190C8E5C18,10/30/2019,Contract
A7A09C06-3AAD-48CA-A49D-57E36EECB093,4FD6CA8D-CC21-4F3F-8DC0-83EE6B3FA130,5B06A5A2-2CA6-24F4-8646-88CD857C3D89,Base,,Base,920EA36E-911C-4345-8BE5-29C190C8E5C19,10/31/2019,Contract
A7A09C60-3AAD-48CA-A49D-57E36EECB093,4FD6CA8D-CC21-4F3F-8DC0-83EE6B3FA130,5B06A5A2-2CA6-24F4-8646-88CD857C3D89,Insurance,,Insurance,920EA36E-911C-4345-8BE5-29C190C8E5C20,11/1/2019,Contract
A7A09C06-3AAD-84CA-A49D-57E36EECB093,4FD6CA8D-CC21-4F3F-8DC0-83EE6B3FA130,5B06A5A2-2CA6-24F4-8646-88CD857C3D89,Bond,,Bond,920EA36E-911C-4345-8BE5-29C190C8E5C21,11/2/2019,Contract
A7A09C06-3AAD-48CA-B58D-57E36EECB093,4FD6CA8D-CC21-4F3F-8DC0-83EE6B3FA130,5B06A5A2-2CA6-24F4-8646-88CD857C3D89,Wages,,Wages,920EA36E-911C-4345-8BE5-29C190C8E5C22,11/3/2019,Contract
A7A09C06-3AAD-48CA-A49D-57E36EECB309,4FD6CA8D-CC21-4F3F-8DC0-83EE6B3FA130,5B06A5A2-2CA6-24F4-8646-88CD857C3D89,Warranty,,Warrenty,920EA36E-911C-4345-8BE5-29C190C8E5C23,11/4/2019,Contract
1C15CABB-1395-44EA-A99E-5A1EE49D64CE,4FD6CA8D-CC21-4F3F-8DC0-83EE6B3FA130,5B06A5A2-2CA6-42F4-8646-88CD857D3C89,Claims,,Claims,920EA36E-911C-4345-8BE5-29C190C8E5C24,11/5/2019,Contract
5A76B887-F984-4B5D-B1CC-5B8B316F26D1,4FD6CA8D-CC21-4F3F-8DC0-83EE6B2FA130,,WBS,,,920EA36E-911C-4345-8BE5-29C190C8E5C25,11/6/2019,Contract
92A002ED-516E-4BE0-9F48-63E2B7DE633E,4FD6CA8D-CC21-4F3F-8DC0-83EE6B3FA130,69F993C5-B60A-4B89-B9A5-FF80C4559AD8,Email,,Email,920EA36E-911C-4345-8BE5-29C190C8E5C26,11/7/2019,Contract
